name,englishName,year,cinima,playTime,endTime
宋士杰,Song Shijie,1956,小西天(2),2024-01-02 18:30:00,2024-01-02 20:11:00
永安镇故事集,Ripples of Life,2023,小西天,2024-01-02 19:00:00,2024-01-02 21:03:00
温蒂和露西,Wendy and Lucy,2008,小西天(2),2024-01-03 18:30:00,2024-01-03 19:50:00
马路天使,Street Angel,1937,小西天,2024-01-03 19:00:00,2024-01-03 20:34:00
莺飞人间,Songbird Flies over the World,1946,百子湾,2024-01-03 19:00:00,2024-01-03 20:38:00
心迷宫,Deep in the Heart,2014,小西天(2),2024-01-04 18:30:00,2024-01-04 20:20:00
情书,Love Letter,1995,小西天,2024-01-04 19:00:00,2024-01-04 20:57:00
掬水月在手,Like the Dyer's Hand,2020,小西天(2),2024-01-05 18:30:00,2024-01-05 20:30:00
圣女贞德蒙难记,The Passion of Joan of Arc,1928,小西天,2024-01-05 19:00:00,2024-01-05 20:50:00
八部半,8½,1963,百子湾,2024-01-05 19:00:00,2024-01-05 21:19:00
随心所欲,My Life to Live,1962,小西天,2024-01-06 11:00:00,2024-01-06 12:24:00
一屋之主,Master of the House,1926,小西天,2024-01-06 13:15:00,2024-01-06 15:02:00
路边野餐,Kaili Blues,2015,百子湾,2024-01-06 13:30:00,2024-01-06 15:20:00
吸血鬼,The Vampire,1932,小西天,2024-01-06 15:45:00,2024-01-06 17:08:00
你的鸟儿会唱歌,And Your Bird Can Sing,2018,百子湾,2024-01-06 15:50:00,2024-01-06 17:36:00
地下,Underground,1995,小西天,2024-01-06 18:00:00,2024-01-06 20:50:00
驾驶我的车,Drive My Car,2021,百子湾,2024-01-06 18:00:00,2024-01-06 20:59:00
阿德尔曼夫妇,Mr. & Mrs. Adelman,2017,小西天,2024-01-07 11:00:00,2024-01-07 13:00:00
坂本龙一：终曲,Ryuichi Sakamoto: CODA,2017,百子湾,2024-01-07 13:30:00,2024-01-07 15:10:00
复仇之日,Day of Wrath,1943,小西天,2024-01-07 13:45:00,2024-01-07 15:22:00
德州巴黎,"Paris, Texas",1984,百子湾,2024-01-07 15:40:00,2024-01-07 18:05:00
词语,The Word,1955,小西天,2024-01-07 16:00:00,2024-01-07 18:06:00
乐满哈瓦那,Buena Vista Social Club,1999,百子湾,2024-01-07 18:30:00,2024-01-07 20:11:00
葛楚,Gertrud,1964,小西天,2024-01-07 19:00:00,2024-01-07 20:59:00
洛神,Goddess Luo River,1956,小西天(2),2024-01-09 18:30:00,2024-01-09 19:35:00
