name,englishName,year,director,cinima,playTime,endTime
再见，孩子们,"Goodbye, Children",1987,,小西天,2025-09-02 19:00:00,2025-09-02 20:45:00
尼斯印象,À propos de Nice,1930,,小西天,2025-09-04 19:00:00,2025-09-04 19:24:00
血型,Blood Type,2025,,小西天(2),2025-09-05 18:30:00,2025-09-05 20:10:00
亚特兰大号,L'Atalante,1934,,小西天,2025-09-05 19:00:00,2025-09-05 20:28:00
龙虾,The Lobster,2015,,百子湾,2025-09-05 19:00:00,2025-09-05 20:58:00
男人的争斗,Rififi,1955,,小西天,2025-09-06 11:00:00,2025-09-06 12:58:00
帕特森,Paterson,2016,,百子湾,2025-09-06 13:30:00,2025-09-06 15:28:00
死囚越狱,A Man Escaped,1956,,小西天,2025-09-06 13:40:00,2025-09-06 15:21:00
不莱梅的音乐家,The Bremen Town Musicians,2023,,小西天(2),2025-09-06 14:00:00,2025-09-06 15:56:00
弗兰西丝·哈,Frances Ha,2012,,百子湾,2025-09-06 16:00:00,2025-09-06 17:26:00
战争终了,The War Is Over,1966,,小西天,2025-09-06 16:00:00,2025-09-06 18:02:00
最初的勇士,Finist. The First Warrior,2024,,小西天(2),2025-09-06 16:30:00,2025-09-06 18:31:00
我的罪行,The Crime Is Mine,2023,,百子湾,2025-09-06 18:00:00,2025-09-06 19:42:00
轻举妄动,Hothead,1979,,小西天,2025-09-06 18:45:00,2025-09-06 20:14:00
卡鲁扎,Carusa,2025,,小西天(2),2025-09-06 19:00:00,2025-09-06 20:36:00
勃朗特姐妹,The Bronte Sisters,1979,,小西天,2025-09-07 11:00:00,2025-09-07 13:00:00
索尔之子,Son of Saul,2015,,百子湾,2025-09-07 13:30:00,2025-09-07 15:17:00
茶花女,Lady of the Camelias,1981,,小西天,2025-09-07 13:40:00,2025-09-07 15:35:00
青蛙公主,The Frog Princess,2025,,小西天(2),2025-09-07 14:00:00,2025-09-07 15:33:00
绝美之城,The Great Beauty,2013,,百子湾,2025-09-07 15:45:00,2025-09-07 18:06:00
AI情人,HomE,2024,,小西天(2),2025-09-07 16:00:00,2025-09-07 17:31:00
斯万的爱情,Swann in Love,1984,,小西天,2025-09-07 16:30:00,2025-09-07 18:21:00
年轻气盛,Youth,2015,,百子湾,2025-09-07 18:40:00,2025-09-07 20:39:00
梵高,Van Gogh,1991,,小西天,2025-09-07 19:00:00,2025-09-07 21:39:00
又是充满希望的一天,Another Day of Hope,2024,,小西天,2025-09-08 19:00:00,2025-09-08 21:13:00
夜深沉,The Night,1941,,小西天(2),2025-09-09 18:30:00,2025-09-09 20:19:00
