name,englishName,year,director,cinema,playTime,endTime
生活多美好,It's a Wonderful Life,1946,弗兰克·卡普拉,小西天,2026-10-05 11:00:00,2026-10-05 13:10:00
安妮·霍尔,Annie Hall,1977,伍迪·艾伦 ,小西天,2026-10-05 14:00:00,2026-10-05 15:34:00
斗鱼,Rumble Fish,1983,弗朗西斯·福特·科波拉,小西天,2026-10-05 16:30:00,2026-10-05 18:04:00
离开拉斯维加斯,Leaving Las Vegas,1995,迈克·菲吉斯,小西天,2026-10-05 19:00:00,2026-10-05 20:51:00
出租车司机,Taxi Driver,1976,马丁·斯科塞斯,小西天,2026-10-06 11:00:00,2026-10-06 12:54:00
亡命驾驶,Drive,2011,尼古拉斯·温丁·雷弗恩,小西天,2026-10-06 13:40:00,2026-10-06 15:20:00
首演之夜,Opening Night,1977,约翰·卡萨韦蒂斯,小西天,2026-10-06 16:00:00,2026-10-06 18:24:00
爵士春秋,All That Jazz,1979,鲍勃·福斯,小西天,2026-10-06 19:10:00,2026-10-06 21:13:00
黄金三镖客,"The Good, the Bad and the Ugly",1966,赛尔乔·莱昂内,小西天,2026-10-07 10:30:00,2026-10-07 13:29:00
老无所依,No Country for Old Men,2007,伊桑·科恩,小西天,2026-10-07 14:00:00,2026-10-07 16:02:00
凶线,Blow Out,1981,布莱恩·德·帕尔玛,小西天,2026-10-07 16:40:00,2026-10-07 18:27:00
低俗小说,Pulp Fiction,1994,昆汀·塔伦蒂诺,小西天,2026-10-07 19:00:00,2026-10-07 21:34:00
斗鱼,Rumble Fish,1983,弗朗西斯·福特·科波拉,小西天,2026-10-11 11:00:00,2026-10-11 12:34:00
离开拉斯维加斯,Leaving Las Vegas,1995,迈克·菲吉斯,小西天,2026-10-11 13:30:00,2026-10-11 15:21:00
安妮·霍尔,Annie Hall,1977,伍迪·艾伦 ,小西天,2026-10-11 16:00:00,2026-10-11 17:34:00
生活多美好,It's a Wonderful Life,1946,弗兰克·卡普拉,小西天,2026-10-11 18:30:00,2026-10-11 20:40:00
