name,englishName,year,cinima,playTime,endTime
滑板少年,Minding the Gap,2018,小西天(2),2023-05-04 18:30:00,2023-05-04 20:03:00
雄狮少年,I Am What I Am,2021,小西天,2023-05-04 19:00:00,2023-05-04 20:44:00
明天和每一天,Tomorrow and Thereafter,2017,小西天(2),2023-05-05 18:30:00,2023-05-05 20:05:00
惠子，凝视,"Small, Slow but Steady",2022,百子湾,2023-05-05 19:00:00,2023-05-05 20:39:00
摩托日记,The Motorcycle Diaries,2004,小西天,2023-05-05 19:00:00,2023-05-05 21:06:00
菊次郎的夏天,Kikujiro,1999,小西天,2023-05-06 19:00:00,2023-05-06 21:01:00
特写,Close-Up,1990,百子湾,2023-05-06 19:00:00,2023-05-06 20:38:00
当我们仰望天空时看见什么？,What Do We See When We Look at the Sky?,2021,小西天,2023-05-07 11:00:00,2023-05-07 13:30:00
牛奶配送员的奇幻人生,On the Milky Road,2016,百子湾,2023-05-07 13:30:00,2023-05-07 15:35:00
比邻星,Proxima,2019,小西天,2023-05-07 14:15:00,2023-05-07 16:02:00
黑猫白猫,"Black Cat, White Cat",1998,百子湾,2023-05-07 16:00:00,2023-05-07 18:09:00
坂本龙一：异步,Ryuichi Sakamoto: Async at The Park Avenue Armory,2018,小西天,2023-05-07 17:00:00,2023-05-07 18:05:00
地下,Underground,1995,百子湾,2023-05-07 18:30:00,2023-05-07 21:20:00
坂本龙一：终曲,Ryuichi Sakamoto: CODA,2017,小西天,2023-05-07 19:00:00,2023-05-07 20:40:00
秦香莲,The Case of Killing Chen Shimei,1964,小西天(2),2023-05-09 18:30:00,2023-05-09 20:40:00
海街日记,Our Little Sister,2015,小西天,2023-05-09 19:00:00,2023-05-09 21:07:00
罗莎妈妈,Ma' Rosa,2016,小西天(2),2023-05-10 18:30:00,2023-05-10 20:20:00
神女,Shen Nü / The Goddess,1934,小西天,2023-05-10 19:00:00,2023-05-10 20:22:00
母与子,Mother and Son,1947,百子湾,2023-05-10 19:00:00,2023-05-10 20:46:00
折翼母亲,Ladybird Ladybird,1994,小西天(2),2023-05-11 18:30:00,2023-05-11 20:12:00
晨光正好,One Fine Morning,2022,小西天,2023-05-11 19:00:00,2023-05-11 20:57:00
又见奈良,Tracing Her Shadow,2020,小西天(2),2023-05-12 18:30:00,2023-05-12 20:10:00
一次别离,A Separation,2011,小西天,2023-05-12 19:00:00,2023-05-12 21:03:00
横道世之介,A Story of Yonosuke,2013,百子湾,2023-05-12 19:00:00,2023-05-12 21:40:00
比邻星,Proxima,2019,小西天,2023-05-13 10:00:00,2023-05-13 11:47:00
坂本龙一：异步,Ryuichi Sakamoto: Async at The Park Avenue Armory,2018,小西天,2023-05-13 12:30:00,2023-05-13 13:35:00
家族之苦,What a Wonderful Family!,2016,百子湾,2023-05-13 13:30:00,2023-05-13 15:18:00
坂本龙一：终曲,Ryuichi Sakamoto: CODA,2017,小西天,2023-05-13 14:15:00,2023-05-13 15:55:00
家族之苦2,What a Wonderful Family! II,2017,百子湾,2023-05-13 15:40:00,2023-05-13 17:33:00
兔子暴力,The Old Town Girls,2020,小西天,2023-05-13 16:35:00,2023-05-13 18:21:00
